Game Code,Date,Visit Team Code,Home Team Code,Stadium Code,Site
1.02047E+14,8/30/2012,102,472,88,TEAM
1.10057E+14,8/30/2012,110,574,127,TEAM
1.28001E+14,8/30/2012,128,5,154,TEAM
2.04005E+14,8/30/2012,204,47,48,TEAM
2.0703E+14,8/30/2012,207,295,43,TEAM
4.00016E+14,8/30/2012,400,164,25,TEAM
4.02042E+14,8/30/2012,402,419,116,TEAM
4.28047E+14,8/30/2012,428,465,89,TEAM
5.01003E+14,8/30/2012,501,28,10,TEAM
5.02073E+14,8/30/2012,502,732,135,TEAM
6.48074E+14,8/30/2012,648,736,117,TEAM
6.54013E+14,8/30/2012,654,129,70,TEAM
6.67073E+14,8/30/2012,667,731,133,TEAM
7.11033E+14,8/30/2012,711,331,100,TEAM
7.54008E+14,8/30/2012,754,77,134,TEAM
6.60416E+13,8/31/2012,66,416,68,TEAM
6.30067E+14,8/31/2012,630,674,19,TEAM
6.94049E+14,8/31/2012,694,490,38,NEUTRAL
7.39069E+14,8/31/2012,739,690,109,TEAM
7.48023E+14,8/31/2012,748,229,159,TEAM
2.70196E+13,9/1/2012,27,196,81,TEAM
3.00529E+13,9/1/2012,30,529,108,TEAM
4.30772E+13,9/1/2012,43,772,148,TEAM
7.10235E+13,9/1/2012,71,235,27,TEAM
8.60257E+13,9/1/2012,86,257,36,TEAM
1.47004E+14,9/1/2012,147,37,38,NEUTRAL
1.56016E+14,9/1/2012,156,157,22,NEUTRAL
2.02056E+14,9/1/2012,202,559,50,TEAM
2.31019E+14,9/1/2012,231,193,80,TEAM
2.77066E+14,9/1/2012,277,657,14,TEAM
2.94072E+14,9/1/2012,294,721,21,TEAM
3.05031E+14,9/1/2012,305,306,47,TEAM
3.1205E+14,9/1/2012,312,503,147,NEUTRAL
3.14043E+14,9/1/2012,314,430,77,TEAM
3.15003E+14,9/1/2012,315,31,6,TEAM
3.46067E+14,9/1/2012,346,671,56,TEAM
3.55075E+14,9/1/2012,355,749,83,TEAM
3.88077E+14,9/1/2012,388,768,143,TEAM
4.14052E+14,9/1/2012,414,518,99,TEAM
4.15007E+14,9/1/2012,415,67,61,TEAM
4.18001E+14,9/1/2012,418,8,155,NEUTRAL
4.54023E+14,9/1/2012,454,234,33,TEAM
4.66011E+14,9/1/2012,466,107,12,TEAM
4.97037E+14,9/1/2012,497,365,55,TEAM
5.0408E+14,9/1/2012,504,796,141,TEAM
5.0807E+14,9/1/2012,508,700,129,TEAM
5.09069E+14,9/1/2012,509,688,92,TEAM
5.13073E+14,9/1/2012,513,726,49,NEUTRAL
5.19054E+14,9/1/2012,519,539,111,TEAM
5.2207E+14,9/1/2012,522,704,124,TEAM
5.75075E+14,9/1/2012,575,746,137,TEAM
5.87072E+14,9/1/2012,587,718,58,TEAM
6.26076E+14,9/1/2012,626,756,140,TEAM
6.32052E+14,9/1/2012,632,521,104,TEAM
6.49033E+14,9/1/2012,649,328,51,TEAM
6.55043E+14,9/1/2012,655,434,73,TEAM
6.64046E+14,9/1/2012,664,463,84,TEAM
6.65047E+14,9/1/2012,665,473,87,TEAM
6.69033E+14,9/1/2012,669,327,52,TEAM
6.70029E+14,9/1/2012,670,288,126,TEAM
6.93065E+14,9/1/2012,693,651,35,TEAM
6.9504E+14,9/1/2012,695,404,115,TEAM
7.06065E+14,9/1/2012,706,646,3,TEAM
7.09003E+14,9/1/2012,709,29,11,TEAM
7.16001E+14,9/1/2012,716,9,2,TEAM
7.19031E+14,9/1/2012,719,311,40,TEAM
7.5801E+14,9/1/2012,758,96,13,TEAM
7.7403E+14,9/1/2012,774,301,44,TEAM
7.86039E+14,9/1/2012,786,392,64,TEAM
8.1107E+14,9/1/2012,811,703,119,TEAM
8.17055E+14,9/1/2012,817,545,110,TEAM
1.00404E+15,9/1/2012,1004,433,76,TEAM
1.06805E+15,9/1/2012,1068,457,78,TEAM
3.34037E+14,9/2/2012,334,367,54,TEAM
6.63005E+14,9/2/2012,663,51,132,TEAM
