Game Code,Date,Visit Team Code,Home Team Code,Stadium Code,Site
7.10295E+13,9/1/2011,71,295,43,TEAM
1.08003E+14,9/1/2011,108,28,10,TEAM
3.34077E+14,9/1/2011,334,772,118,NEUTRAL
4.3004E+14,9/1/2011,430,404,115,TEAM
4.40073E+14,9/1/2011,440,732,135,TEAM
4.54037E+14,9/1/2011,454,367,54,TEAM
4.6508E+14,9/1/2011,465,796,141,TEAM
4.69071E+14,9/1/2011,469,709,102,TEAM
4.89059E+14,9/1/2011,489,587,86,TEAM
4.97023E+14,9/1/2011,497,231,31,TEAM
6.47013E+14,9/1/2011,647,129,70,TEAM
7.39069E+14,9/1/2011,739,690,109,TEAM
7.49069E+14,9/1/2011,749,688,92,TEAM
7.69026E+14,9/1/2011,769,255,37,TEAM
6.98005E+14,9/2/2011,698,51,132,TEAM
8.17042E+14,9/2/2011,817,416,68,TEAM
5.05182E+12,9/3/2011,5,518,99,TEAM
2.70742E+13,9/3/2011,27,742,136,TEAM
3.00301E+13,9/3/2011,30,301,44,TEAM
4.3014E+13,9/3/2011,43,140,97,TEAM
4.80128E+13,9/3/2011,48,128,146,TEAM
6.60257E+13,9/3/2011,66,257,38,NEUTRAL
7.70433E+13,9/3/2011,77,433,76,TEAM
8.60545E+13,9/3/2011,86,545,110,TEAM
9.00626E+13,9/3/2011,90,626,16,TEAM
9.60107E+13,9/3/2011,96,107,161,NEUTRAL
1.02053E+14,9/3/2011,102,528,107,TEAM
1.10029E+14,9/3/2011,110,288,126,TEAM
1.56047E+14,9/3/2011,156,473,87,TEAM
1.57028E+14,9/3/2011,157,277,39,TEAM
1.80073E+14,9/3/2011,180,726,62,TEAM
1.96065E+14,9/3/2011,196,648,79,NEUTRAL
2.02033E+14,9/3/2011,202,327,52,TEAM
2.07076E+14,9/3/2011,207,756,139,TEAM
2.29024E+14,9/3/2011,229,235,27,TEAM
2.36016E+14,9/3/2011,236,164,25,TEAM
2.94075E+14,9/3/2011,294,754,138,TEAM
3.05054E+14,9/3/2011,305,539,111,TEAM
3.06005E+14,9/3/2011,306,47,162,NEUTRAL
3.17046E+14,9/3/2011,317,457,78,TEAM
3.31001E+14,9/3/2011,331,8,5,TEAM
3.55049E+14,9/3/2011,355,490,82,TEAM
3.66066E+14,9/3/2011,366,664,75,TEAM
4.02033E+14,9/3/2011,402,328,51,TEAM
4.14043E+14,9/3/2011,414,434,73,TEAM
4.19056E+14,9/3/2011,419,559,50,TEAM
4.28066E+14,9/3/2011,428,657,14,TEAM
4.41069E+14,9/3/2011,441,694,114,TEAM
4.98023E+14,9/3/2011,498,234,33,TEAM
5.01003E+14,9/3/2011,501,29,11,TEAM
5.04031E+14,9/3/2011,504,311,40,TEAM
5.09007E+14,9/3/2011,509,67,61,TEAM
5.19047E+14,9/3/2011,519,472,88,TEAM
5.29037E+14,9/3/2011,529,365,155,NEUTRAL
5.7407E+14,9/3/2011,574,703,119,TEAM
5.75019E+14,9/3/2011,575,193,80,TEAM
6.30067E+14,9/3/2011,630,674,19,TEAM
6.50072E+14,9/3/2011,650,721,21,TEAM
6.51051E+14,9/3/2011,651,513,49,TEAM
6.55072E+14,9/3/2011,655,718,58,TEAM
6.69003E+14,9/3/2011,669,31,6,TEAM
6.7007E+14,9/3/2011,670,700,129,TEAM
6.71052E+14,9/3/2011,671,521,104,TEAM
6.8307E+14,9/3/2011,683,704,124,TEAM
6.92031E+14,9/3/2011,692,312,41,TEAM
6.93046E+14,9/3/2011,693,463,84,TEAM
7.16015E+14,9/3/2011,716,147,112,TEAM
7.19052E+14,9/3/2011,719,522,103,TEAM
7.2505E+14,9/3/2011,725,503,45,TEAM
7.31004E+14,9/3/2011,731,37,1,TEAM
7.58081E+14,9/3/2011,758,811,144,TEAM
7.74042E+14,9/3/2011,774,418,66,TEAM
7.86075E+14,9/3/2011,786,746,137,TEAM
1.06807E+15,9/3/2011,1068,736,117,TEAM
2.9002E+14,9/4/2011,290,204,71,TEAM
3.88077E+14,9/4/2011,388,768,143,TEAM
6.6307E+14,9/4/2011,663,697,120,TEAM
4.15039E+14,9/5/2011,415,392,64,TEAM
2.90521E+13,9/8/2011,29,521,104,TEAM
2.31037E+14,9/9/2011,231,367,54,TEAM
4.34003E+14,9/9/2011,434,28,10,TEAM
7.02042E+12,9/10/2011,7,204,71,TEAM
8.05392E+12,9/10/2011,8,539,111,TEAM
9.02352E+12,9/10/2011,9,235,27,TEAM
4.70651E+13,9/10/2011,47,651,35,TEAM
4.80234E+13,9/10/2011,48,234,33,TEAM
6.70128E+13,9/10/2011,67,128,146,TEAM
7.70703E+13,9/10/2011,77,703,119,TEAM
9.60463E+13,9/10/2011,96,463,84,TEAM
1.07016E+14,9/10/2011,107,157,20,TEAM
1.29033E+14,9/10/2011,129,334,53,TEAM
1.40069E+14,9/10/2011,140,694,114,TEAM
1.64074E+14,9/10/2011,164,736,117,TEAM
2.01051E+14,9/10/2011,201,509,46,TEAM
2.29042E+14,9/10/2011,229,416,68,TEAM
2.55042E+14,9/10/2011,255,419,116,TEAM
2.6105E+14,9/10/2011,261,498,57,TEAM
2.77076E+14,9/10/2011,277,756,139,TEAM
2.8805E+14,9/10/2011,288,497,160,TEAM
3.12031E+14,9/10/2011,312,311,40,TEAM
3.80055E+14,9/10/2011,380,545,110,TEAM
4.04003E+14,9/10/2011,404,30,7,TEAM
4.30004E+14,9/10/2011,430,37,1,TEAM
4.46007E+14,9/10/2011,446,71,96,TEAM
4.65075E+14,9/10/2011,465,754,138,TEAM
4.66053E+14,9/10/2011,466,529,108,TEAM
4.72043E+14,9/10/2011,472,428,153,TEAM
4.73003E+14,9/10/2011,473,31,8,TEAM
4.83077E+14,9/10/2011,483,774,69,TEAM
4.85077E+14,9/10/2011,485,768,143,TEAM
4.90075E+14,9/10/2011,490,749,83,TEAM
4.9403E+14,9/10/2011,494,295,43,TEAM
5.02016E+14,9/10/2011,502,156,23,TEAM
5.03033E+14,9/10/2011,503,328,51,TEAM
5.08037E+14,9/10/2011,508,365,55,TEAM
5.13042E+14,9/10/2011,513,418,66,TEAM
5.2808E+14,9/10/2011,528,796,141,TEAM
5.59057E+14,9/10/2011,559,574,127,TEAM
5.72069E+14,9/10/2011,572,688,92,TEAM
5.87046E+14,9/10/2011,587,457,78,TEAM
6.26073E+14,9/10/2011,626,725,93,TEAM
6.30011E+14,9/10/2011,630,110,15,TEAM
6.48026E+14,9/10/2011,648,257,36,TEAM
6.4903E+14,9/10/2011,649,301,44,TEAM
6.59043E+14,9/10/2011,659,433,76,TEAM
6.64039E+14,9/10/2011,664,388,142,TEAM
6.70081E+14,9/10/2011,670,811,144,TEAM
6.71033E+14,9/10/2011,671,331,100,TEAM
6.74019E+14,9/10/2011,674,193,80,TEAM
6.83009E+14,9/10/2011,683,86,91,TEAM
6.90001E+14,9/10/2011,690,5,154,TEAM
6.98072E+14,9/10/2011,698,721,21,TEAM
