Team Code,Game Code,Rush Att,Rush Yard,Rush TD,Pass Att,Pass Comp,Pass Yard,Pass TD,Pass Int,Pass Conv,Kickoff Ret,Kickoff Ret Yard,Kickoff Ret TD,Punt Ret,Punt Ret Yard,Punt Ret TD,Fum Ret,Fum Ret Yard,Fum Ret TD,Int Ret,Int Ret Yard,Int Ret TD,Misc Ret,Misc Ret Yard,Misc Ret TD,Field Goal Att,Field Goal Made,Off XP Kick Att,Off XP Kick Made,Off 2XP Att,Off 2XP Made,Def 2XP Att,Def 2XP Made,Safety,Points,Punt,Punt Yard,Kickoff,Kickoff Yard,Kickoff Touchback,Kickoff Out-Of-Bounds,Kickoff Onside,Fumble,Fumble Lost,Tackle Solo,Tackle Assist,Tackle For Loss,Tackle For Loss Yard,Sack,Sack Yard,QB Hurry,Fumble Forced,Pass Broken Up,Kick/Punt Blocked,1st Down Rush,1st Down Pass,1st Down Penalty,Time Of Possession,Penalty,Penalty Yard,Third Down Att,Third Down Conv,Fourth Down Att,Fourth Down Conv,Red Zone Att,Red Zone TD,Red Zone Field Goal
8,6.48001E+14,38,264,1,20,10,92,0,2,0,2,45,0,5,75,0,0,0,0,1,77,1,0,0,0,3,2,2,2,0,0,0,0,0,20,3,136,5,293,0,0,0,2,2,36,36,9,34,5,26,8,1,11,0,12,4,1,1697,10,113,10,3,0,0,3,1,2
8,6.94001E+14,30,136,0,29,18,120,0,0,0,1,30,0,2,33,0,0,0,0,1,11,0,2,10,0,4,4,0,0,0,0,0,0,0,12,3,132,5,330,0,0,0,1,1,40,42,8,33,2,19,5,0,8,2,8,6,2,1662,1,10,14,5,1,0,1,0,1
8,3.65001E+14,38,176,0,34,19,276,2,1,0,3,78,0,4,11,0,0,0,0,1,0,0,0,0,0,3,3,1,1,1,1,0,0,0,24,4,151,7,461,2,0,0,1,0,25,40,7,38,3,27,8,0,1,0,10,13,1,1972,4,20,14,4,1,1,2,0,2
8,8.04302E+12,40,252,2,18,13,192,2,0,0,2,70,0,1,0,0,0,0,0,3,0,0,0,0,0,1,1,4,4,0,0,0,0,0,31,5,206,6,384,0,0,0,0,0,40,17,6,36,2,18,2,0,5,0,12,5,0,1896,3,25,11,4,1,0,1,1,0
8,6.93001E+14,56,313,4,16,10,109,1,0,0,1,12,0,2,68,1,0,0,0,3,39,0,0,0,0,2,1,6,6,0,0,0,0,0,45,2,78,8,538,2,0,0,0,0,19,30,4,6,0,0,9,0,7,0,22,4,0,2222,5,61,11,5,2,1,4,2,1
8,8.00372E+12,35,73,1,32,21,218,2,0,0,1,46,0,2,67,0,0,0,0,1,14,0,0,0,0,3,2,2,2,1,0,0,0,0,26,5,226,6,354,1,1,0,1,0,32,30,9,50,3,32,6,1,2,0,3,13,1,2027,4,26,14,5,1,0,4,2,2
8,2.35001E+14,53,251,3,18,12,239,1,0,0,3,79,0,1,8,0,0,0,0,1,0,0,0,0,0,2,2,3,2,1,0,0,0,0,32,2,83,7,478,1,0,0,1,0,29,16,5,7,0,0,14,0,6,0,14,10,2,2377,1,5,15,11,0,0,6,4,1
8,7.03001E+14,51,205,4,12,6,58,0,1,0,3,19,0,3,19,0,0,0,0,4,31,1,0,0,0,2,1,5,4,0,0,0,0,0,37,7,261,7,415,1,0,0,1,1,38,16,7,30,1,14,0,1,6,0,10,3,3,2019,5,38,12,2,1,0,4,3,1
9,5.74001E+14,39,295,4,16,12,221,2,0,0,4,97,0,2,-2,0,0,0,0,1,44,0,1,14,0,1,1,6,5,0,0,0,0,0,44,3,96,8,504,0,0,0,2,2,41,16,6,27,1,9,0,1,8,1,11,9,0,1786,14,111,7,3,0,0,5,4,1
9,6.63001E+14,34,222,2,37,18,226,2,4,0,4,102,0,2,27,0,0,0,0,2,32,1,0,0,0,0,0,4,3,1,0,0,0,0,33,6,254,6,347,0,2,0,2,1,41,30,6,16,1,4,0,2,5,0,7,13,0,1573,6,65,13,6,0,0,4,3,0
9,9.07162E+12,35,176,0,29,15,109,1,1,1,3,71,0,1,0,0,0,0,0,1,4,0,0,0,0,2,2,0,0,1,1,0,0,0,14,6,275,4,220,0,0,0,2,0,39,32,7,27,2,10,0,3,2,0,9,6,3,1681,8,63,15,6,1,0,3,1,2
9,9.06972E+12,35,229,2,25,9,74,0,0,0,8,124,0,0,0,0,1,15,0,0,0,0,0,0,0,3,2,1,1,1,0,0,0,0,19,8,331,4,222,0,0,1,0,0,35,70,6,17,1,5,0,1,3,0,9,3,1,1595,11,100,14,3,0,0,4,1,2
9,6.64001E+14,47,222,1,13,6,23,1,0,0,3,55,0,1,11,0,0,0,0,1,40,1,0,0,0,3,3,3,3,0,0,0,0,0,30,7,299,7,417,0,0,0,0,0,48,22,4,27,3,24,0,1,1,0,10,2,2,1970,4,50,15,5,0,0,3,1,2
9,9.04332E+12,40,230,1,21,12,121,0,1,0,5,143,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,0,0,0,13,6,242,3,190,0,0,0,0,0,29,38,7,21,0,0,0,0,2,0,14,4,0,1979,6,33,11,3,0,0,4,1,2
9,9.03882E+12,34,232,0,27,16,200,1,0,0,6,109,0,2,14,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,7,6,271,2,87,0,0,0,0,0,30,62,2,10,1,7,4,2,4,0,7,9,0,1556,15,135,12,2,3,0,2,1,0
