Date,Day,Winner,Pts,Loser,Pts
9/7/2013,Sat,Navy,41,Indiana,35
9/7/2013,Sat,Nebraska,56,Southern Mississippi,13
9/7/2013,Sat,Nevada,36,California-Davis,7
9/7/2013,Sat,New Mexico,42,Texas-El Paso,35
9/7/2013,Sat,Nicholls State,27,Western Michigan,23
9/7/2013,Sat,North Carolina,40,Middle Tennessee State,20
9/7/2013,Sat,North Carolina State,23,Richmond,21
9/7/2013,Sat,Northwestern,48,Syracuse,27
9/7/2013,Sat,Ohio,27,North Texas,21
9/7/2013,Sat,Ohio State,42,San Diego State,7
9/7/2013,Sat,Oklahoma,16,West Virginia,7
9/7/2013,Sat,Oklahoma State,56,Texas-San Antonio,35
9/7/2013,Sat,Oregon,59,Virginia,10
9/7/2013,Sat,Oregon State,33,Hawaii,14
9/7/2013,Sat,Penn State,45,Eastern Michigan,7
9/7/2013,Sat,Purdue,20,Indiana State,14
9/7/2013,Sat,Rutgers,38,Norfolk State,0
9/7/2013,Sat,South Alabama,41,Tulane,39
9/7/2013,Sat,Southern Methodist,31,Montana State,30
9/7/2013,Sat,Stanford,34,San Jose State,13
9/7/2013,Sat,Tennessee,52,Western Kentucky,20
9/7/2013,Sat,Texas A&M,65,Sam Houston State,28
9/7/2013,Sat,TCU,38,Southeastern Louisiana,17
9/7/2013,Sat,Texas State,28,Prairie View A&M,3
9/7/2013,Sat,Texas Tech,61,Stephen F. Austin,13
9/7/2013,Sat,Troy,66,Savannah State,3
9/7/2013,Sat,Tulsa,30,Colorado State,27
9/7/2013,Sat,Utah,70,Weber State,7
9/7/2013,Sat,Utah State,52,Air Force,20
9/7/2013,Sat,Vanderbilt,38,Austin Peay,3
9/7/2013,Sat,Virginia Tech,45,Western Carolina,3
9/7/2013,Sat,Washington State,10,USC,7
9/7/2013,Sat,Wisconsin,48,Tennessee Tech,0
9/7/2013,Sat,Wyoming,42,Idaho,10
9/12/2013,Thu,Arkansas State,41,Troy,34
9/12/2013,Thu,Texas Tech,20,TCU,10
9/12/2013,Thu,Tulane,24,Louisiana Tech,15
9/13/2013,Fri,Boise State,42,Air Force,20
9/14/2013,Sat,Alabama,49,Texas A&M,42
9/14/2013,Sat,Arizona,38,Texas-San Antonio,13
9/14/2013,Sat,Arizona State,32,Wisconsin,30
9/14/2013,Sat,Arkansas,24,Southern Mississippi,3
9/14/2013,Sat,Auburn,24,Mississippi State,20
9/14/2013,Sat,Bethune-Cookman,34,Florida International,13
9/14/2013,Sat,Buffalo,26,Stony Brook,23
9/14/2013,Sat,Central Florida,34,Penn State,31
9/14/2013,Sat,Cincinnati,66,Northwestern State,9
9/14/2013,Sat,Colorado State,34,Cal Poly,17
9/14/2013,Sat,Florida Atlantic,28,South Florida,10
9/14/2013,Sat,Florida State,62,Nevada,7
9/14/2013,Sat,Fordham,30,Temple,29
9/14/2013,Sat,Fresno State,,Colorado,
9/14/2013,Sat,Georgia Tech,38,Duke,14
