Game Code,Date,Visit Team Code,Home Team Code,Stadium Code,Site
5.01282E+12,8/29/2013,5,128,146,TEAM
1.02063E+14,8/29/2013,102,630,18,TEAM
2.99005E+14,8/29/2013,299,47,48,TEAM
3.05031E+14,8/29/2013,305,306,47,TEAM
3.14072E+14,8/29/2013,314,718,58,TEAM
3.55033E+14,8/29/2013,355,331,100,TEAM
4.33074E+14,8/29/2013,433,736,117,TEAM
4.57065E+14,8/29/2013,457,648,113,TEAM
4.65043E+14,8/29/2013,465,428,153,TEAM
5.8701E+14,8/29/2013,587,96,13,TEAM
6.57028E+14,8/29/2013,657,277,39,TEAM
6.67065E+14,8/29/2013,667,646,3,TEAM
7.11016E+14,8/29/2013,711,164,25,TEAM
7.19007E+14,8/29/2013,719,71,96,TEAM
7.31073E+14,8/29/2013,731,732,135,TEAM
7.69042E+14,8/29/2013,769,419,116,TEAM
1.32007E+15,8/29/2013,1320,749,83,TEAM
2.29042E+14,8/30/2013,229,415,30,TEAM
4.46073E+14,8/30/2013,446,725,93,TEAM
4.93033E+14,8/30/2013,493,327,52,TEAM
5.01003E+14,8/30/2013,501,29,11,TEAM
6.25025E+14,8/30/2013,625,254,38,TEAM
6.65029E+14,8/30/2013,665,288,128,TEAM
7.00066E+14,8/30/2013,700,663,122,TEAM
7.74042E+14,8/30/2013,774,416,68,TEAM
8.07422E+12,8/31/2013,8,742,38,NEUTRAL
9.07162E+12,8/31/2013,9,716,4,TEAM
4.30694E+13,8/31/2013,43,694,114,TEAM
6.60756E+13,8/31/2013,66,756,140,TEAM
7.70746E+13,8/31/2013,77,746,137,TEAM
8.60518E+13,8/31/2013,86,518,99,TEAM
1.29042E+14,8/31/2013,129,418,66,TEAM
1.53072E+14,8/31/2013,153,721,21,TEAM
2.01063E+14,8/31/2013,201,626,16,TEAM
2.07053E+14,8/31/2013,207,528,107,TEAM
2.31039E+14,8/31/2013,231,392,64,TEAM
2.57015E+14,8/31/2013,257,147,112,TEAM
2.9002E+14,8/31/2013,290,204,71,TEAM
2.9505E+14,8/31/2013,295,497,160,TEAM
3.34077E+14,8/31/2013,334,772,118,NEUTRAL
3.6507E+14,8/31/2013,365,698,155,NEUTRAL
3.66049E+14,8/31/2013,366,490,82,TEAM
4.0008E+14,8/31/2013,400,796,141,TEAM
4.02065E+14,8/31/2013,402,651,35,TEAM
4.14039E+14,8/31/2013,414,388,142,TEAM
4.30052E+14,8/31/2013,430,521,128,NEUTRAL
4.54043E+14,8/31/2013,454,434,73,TEAM
4.66011E+14,8/31/2013,466,110,15,TEAM
4.7207E+14,8/31/2013,472,703,119,TEAM
4.83053E+14,8/31/2013,483,529,108,TEAM
4.89019E+14,8/31/2013,489,193,80,TEAM
4.98052E+14,8/31/2013,498,522,103,TEAM
5.03031E+14,8/31/2013,503,312,41,TEAM
5.04031E+14,8/31/2013,504,311,40,TEAM
5.09011E+14,8/31/2013,509,107,12,TEAM
5.2302E+14,8/31/2013,523,196,81,TEAM
5.39069E+14,8/31/2013,539,688,157,NEUTRAL
5.59014E+14,8/31/2013,559,140,97,TEAM
5.7407E+14,8/31/2013,574,697,120,TEAM
6.5903E+14,8/31/2013,659,301,44,TEAM
6.70066E+14,8/31/2013,670,664,75,TEAM
6.71003E+14,8/31/2013,671,31,6,TEAM
6.90051E+14,8/31/2013,690,513,49,TEAM
7.06047E+14,8/31/2013,706,473,87,TEAM
7.09024E+14,8/31/2013,709,235,27,TEAM
7.39007E+14,8/31/2013,739,67,61,TEAM
7.54004E+14,8/31/2013,754,37,1,TEAM
7.86077E+14,8/31/2013,786,768,143,TEAM
8.11046E+14,8/31/2013,811,463,84,TEAM
1.06803E+15,8/31/2013,1068,255,37,TEAM
2.678E+15,8/31/2013,2678,30,7,TEAM
2.91501E+15,8/31/2013,2915,51,132,TEAM
1.57016E+14,9/1/2013,157,156,22,NEUTRAL
5.19037E+14,9/1/2013,519,367,54,TEAM
2.34055E+14,9/2/2013,234,545,110,TEAM
1.02003E+14,9/5/2013,102,28,10,TEAM
2.2902E+14,9/5/2013,229,196,81,TEAM
1.28023E+14,9/6/2013,128,231,31,TEAM
7.49007E+14,9/6/2013,749,67,61,TEAM
9.03652E+12,9/7/2013,9,365,55,TEAM
1.7043E+13,9/7/2013,17,430,77,TEAM
2.90465E+13,9/7/2013,29,465,89,TEAM
3.00037E+13,9/7/2013,30,37,1,TEAM
4.30736E+13,9/7/2013,43,736,117,TEAM
7.10331E+13,9/7/2013,71,331,100,TEAM
8.60051E+13,9/7/2013,86,51,132,TEAM
9.00096E+13,9/7/2013,90,96,13,TEAM
1.08047E+14,9/7/2013,108,466,90,TEAM
1.4003E+14,9/7/2013,140,301,44,TEAM
1.56072E+14,9/7/2013,156,719,105,TEAM
1.9304E+14,9/7/2013,193,404,115,TEAM
2.02037E+14,9/7/2013,202,367,54,TEAM
2.04054E+14,9/7/2013,204,539,111,TEAM
2.35042E+14,9/7/2013,235,415,30,TEAM
2.6105E+14,9/7/2013,261,498,57,TEAM
2.77053E+14,9/7/2013,277,528,107,TEAM
2.88069E+14,9/7/2013,288,690,109,TEAM
2.95081E+14,9/7/2013,295,811,144,TEAM
3.05056E+14,9/7/2013,305,559,50,TEAM
3.17001E+14,9/7/2013,317,5,154,TEAM
3.46037E+14,9/7/2013,346,366,59,TEAM
3.8004E+14,9/7/2013,380,400,163,TEAM
4.14033E+14,9/7/2013,414,334,53,TEAM
4.19046E+14,9/7/2013,419,457,78,TEAM
4.28047E+14,9/7/2013,428,472,88,TEAM
4.40066E+14,9/7/2013,440,663,122,TEAM
4.69013E+14,9/7/2013,469,129,70,TEAM
4.7307E+14,9/7/2013,473,704,124,TEAM
4.83077E+14,9/7/2013,483,774,69,TEAM
4.85059E+14,9/7/2013,485,587,86,TEAM
4.97052E+14,9/7/2013,497,519,95,TEAM
5.13042E+14,9/7/2013,513,418,66,TEAM
5.21071E+14,9/7/2013,521,706,130,TEAM
5.23039E+14,9/7/2013,523,392,64,TEAM
5.29075E+14,9/7/2013,529,746,137,TEAM
5.50011E+14,9/7/2013,550,107,12,TEAM
5.53067E+14,9/7/2013,553,670,131,TEAM
5.75049E+14,9/7/2013,575,490,82,TEAM
6.2407E+14,9/7/2013,624,697,120,TEAM
6.25003E+14,9/7/2013,625,31,8,TEAM
6.26052E+14,9/7/2013,626,518,99,TEAM
6.30067E+14,9/7/2013,630,674,19,TEAM
6.32072E+14,9/7/2013,632,716,4,TEAM
6.46072E+14,9/7/2013,646,718,58,TEAM
6.47015E+14,9/7/2013,647,147,112,TEAM
6.48026E+14,9/7/2013,648,257,36,TEAM
6.50033E+14,9/7/2013,650,328,51,TEAM
6.51042E+14,9/7/2013,651,416,68,TEAM
6.54043E+14,9/7/2013,654,433,76,TEAM
6.5507E+14,9/7/2013,655,698,125,TEAM
6.64046E+14,9/7/2013,664,463,84,TEAM
6.69031E+14,9/7/2013,669,312,41,TEAM
6.71033E+14,9/7/2013,671,327,52,TEAM
6.7607E+14,9/7/2013,676,700,129,TEAM
6.88051E+14,9/7/2013,688,509,46,TEAM
