Wk,Date,Day,Winner,Pts,Loser,Pts
2,9/10/2011,Sat,Temple,41,Akron,3
13,11/25/2011,Fri,Western Michigan,68,Akron,19
2,9/10/2011,Sat,Eastern Michigan,14,Alabama State,7
2,9/10/2011,Sat, Florida,39,Alabama-Birmingham,0
10,11/5/2011,Sat, Houston,56,Alabama-Birmingham,13
4,9/24/2011,Sat,East Carolina,28,Alabama-Birmingham,23
13,11/26/2011,Sat,Florida Atlantic,38,Alabama-Birmingham,35
9,10/29/2011,Sat,Marshall,59,Alabama-Birmingham,14
6,10/8/2011,Sat,Mississippi State,21,Alabama-Birmingham,3
5,10/1/2011,Sat,Troy,24,Alabama-Birmingham,23
3,9/17/2011,Sat,Tulane,49,Alabama-Birmingham,10
7,10/15/2011,Sat,Tulsa,37,Alabama-Birmingham,20
1,9/3/2011,Sat, Virginia Tech,66,Appalachian State,13
4,9/24/2011,Sat, Oregon,56,Arizona,31
11,11/12/2011,Sat,Colorado,48,Arizona,29
2,9/8/2011,Thu,Oklahoma State,37,Arizona,14
6,10/8/2011,Sat,Oregon State,37,Arizona,27
5,10/1/2011,Sat,USC,48,Arizona,41
3,9/17/2011,Sat,Stanford,37,Arizona,10
10,11/5/2011,Sat,Utah,34,Arizona,21
9,10/29/2011,Sat,Washington,42,Arizona,31
17,12/22/2011,Thu, Boise State,56,Arizona State,24
17,12/22/2011,Thu, Boise State,56,Arizona State,24
12,11/19/2011,Sat,Arizona,31,Arizona State,27
13,11/25/2011,Fri,California,47,Arizona State,38
11,11/12/2011,Sat,Washington State,37,Arizona State,27
3,9/17/2011,Sat, Virginia Tech,26,Arkansas State,7
1,9/3/2011,Sat,Illinois,33,Arkansas State,15
20,1/8/2012,Sun,Northern Illinois,38,Arkansas State,20
20,1/8/2012,Sun,Northern Illinois,38,Arkansas State,20
10,11/5/2011,Sat,Air Force,24,Army,14
4,9/24/2011,Sat,Ball State,48,Army,21
6,10/8/2011,Sat,Miami (OH),35,Army,28
15,12/10/2011,Sat,Navy,27,Army,21
1,9/3/2011,Sat,Northern Illinois,49,Army,26
11,11/12/2011,Sat,Rutgers,27,Army,12
2,9/10/2011,Sat,San Diego State,23,Army,20
12,11/19/2011,Sat,Temple,42,Army,14
8,10/22/2011,Sat,Vanderbilt,44,Army,21
13,11/26/2011,Sat, Alabama,42,Auburn,14
1,9/3/2011,Sat,Cincinnati,72,Austin Peay,10
3,9/17/2011,Sat,Memphis,27,Austin Peay,6
5,10/1/2011,Sat, Oklahoma,62,Ball State,6
12,11/15/2011,Tue,Northern Illinois,41,Ball State,38
2,9/10/2011,Sat,South Florida,37,Ball State,7
6,10/8/2011,Sat,Temple,42,Ball State,0
13,11/25/2011,Fri,Toledo,45,Ball State,28
