Game Code,Date,Visit Team Code,Home Team Code,Stadium Code,Site
1.49033E+14,9/3/2009,149,331,100,TEAM
2.02031E+14,9/3/2009,202,306,47,TEAM
4.93031E+14,9/3/2009,493,311,40,TEAM
4.97005E+14,9/3/2009,497,47,48,TEAM
5.29007E+14,9/3/2009,529,66,42,TEAM
6.48049E+14,9/3/2009,648,490,82,TEAM
7.16007E+14,9/3/2009,716,71,96,TEAM
7.31073E+14,9/3/2009,731,732,135,TEAM
7.39069E+14,9/3/2009,739,690,109,TEAM
7.19072E+14,9/4/2009,719,718,58,TEAM
1.00403E+15,9/4/2009,1004,277,39,TEAM
5.05392E+12,9/5/2009,5,539,111,TEAM
8.07422E+12,9/5/2009,8,742,38,NEUTRAL
1.70664E+13,9/5/2009,17,664,75,TEAM
2.70196E+13,9/5/2009,27,196,81,TEAM
4.80235E+13,9/5/2009,48,235,27,TEAM
5.10749E+13,9/5/2009,51,749,83,TEAM
7.70522E+13,9/5/2009,77,522,155,NEUTRAL
8.60704E+13,9/5/2009,86,704,124,TEAM
1.02047E+14,9/5/2009,102,465,89,TEAM
1.0801E+14,9/5/2009,108,96,13,TEAM
1.29003E+14,9/5/2009,129,29,11,TEAM
1.41046E+14,9/5/2009,141,457,78,TEAM
1.64052E+14,9/5/2009,164,519,95,TEAM
2.29046E+14,9/5/2009,229,463,84,TEAM
2.57052E+14,9/5/2009,257,521,104,TEAM
2.94003E+14,9/5/2009,294,28,10,TEAM
2.95047E+14,9/5/2009,295,472,88,TEAM
3.05037E+14,9/5/2009,305,367,54,TEAM
3.14043E+14,9/5/2009,314,430,77,TEAM
3.15026E+14,9/5/2009,315,255,37,TEAM
3.34041E+14,9/5/2009,334,414,98,NEUTRAL
3.55077E+14,9/5/2009,355,768,143,TEAM
3.65076E+14,9/5/2009,365,756,139,TEAM
3.66004E+14,9/5/2009,366,37,1,TEAM
3.92011E+14,9/5/2009,392,107,12,TEAM
4.00033E+14,9/5/2009,400,327,52,TEAM
4.19015E+14,9/5/2009,419,147,112,TEAM
4.28069E+14,9/5/2009,428,688,92,TEAM
4.32003E+14,9/5/2009,432,30,7,TEAM
4.3403E+14,9/5/2009,434,301,149,NEUTRAL
4.40042E+14,9/5/2009,440,416,68,TEAM
4.66051E+14,9/5/2009,466,513,49,TEAM
4.7307E+14,9/5/2009,473,697,120,TEAM
4.83072E+14,9/5/2009,483,721,21,TEAM
4.9407E+14,9/5/2009,494,700,129,TEAM
4.9807E+14,9/5/2009,498,703,119,TEAM
5.00007E+14,9/5/2009,500,67,61,TEAM
5.02033E+14,9/5/2009,502,328,51,TEAM
5.0308E+14,9/5/2009,503,796,141,TEAM
5.04031E+14,9/5/2009,504,312,41,TEAM
5.08029E+14,9/5/2009,508,288,126,TEAM
5.50053E+14,9/5/2009,550,528,107,TEAM
5.74001E+14,9/5/2009,574,9,2,TEAM
5.75019E+14,9/5/2009,575,193,80,TEAM
6.25013E+14,9/5/2009,625,128,146,TEAM
6.26011E+14,9/5/2009,626,110,15,TEAM
6.30066E+14,9/5/2009,630,657,14,TEAM
6.59039E+14,9/5/2009,659,388,142,TEAM
6.65067E+14,9/5/2009,665,671,56,TEAM
6.69003E+14,9/5/2009,669,31,8,TEAM
6.74075E+14,9/5/2009,674,754,138,TEAM
6.76066E+14,9/5/2009,676,663,122,TEAM
7.09056E+14,9/5/2009,709,559,50,TEAM
7.11051E+14,9/5/2009,711,509,46,TEAM
7.2502E+14,9/5/2009,725,204,71,TEAM
7.26052E+14,9/5/2009,726,518,99,TEAM
7.58081E+14,9/5/2009,758,811,144,TEAM
7.69074E+14,9/5/2009,769,736,117,TEAM
7.72069E+14,9/5/2009,772,694,114,TEAM
7.74042E+14,9/5/2009,774,418,66,TEAM
7.86075E+14,9/5/2009,786,746,137,TEAM
8.17055E+14,9/5/2009,817,545,110,TEAM
2.91507E+15,9/5/2009,2915,651,35,TEAM
1.56016E+14,9/6/2009,156,157,20,TEAM
4.3304E+14,9/6/2009,433,404,115,TEAM
1.40059E+14,9/7/2009,140,587,86,TEAM
4.15023E+14,9/7/2009,415,234,33,TEAM
1.47026E+14,9/10/2009,147,255,37,TEAM
1.57071E+14,9/11/2009,157,709,102,TEAM
3.00463E+13,9/12/2009,30,463,84,TEAM
