Date,Day,Winner,Pts,Loser,Pts
10/31/2009,Sat,Illinois,38,Michigan,13
10/31/2009,Sat,Iowa,42,Indiana,24
10/31/2009,Sat,Kent State,26,Western Michigan,14
10/31/2009,Sat,LSU,42,Tulane,0
10/31/2009,Sat,Louisville,21,Arkansas State,13
10/31/2009,Sat,Miami (Florida),28,Wake Forest,27
10/31/2009,Sat,Miami (OH),31,Toledo,24
10/31/2009,Sat,Middle Tennessee State,27,Florida Atlantic,20
10/31/2009,Sat,Minnesota,42,Michigan State,34
10/31/2009,Sat,Mississippi State,31,Kentucky,24
10/31/2009,Sat,Missouri,36,Colorado,17
10/31/2009,Sat,Nebraska,20,Baylor,10
10/31/2009,Sat,Nevada,31,Hawaii,21
10/31/2009,Sat,North Texas,68,Western Kentucky,49
10/31/2009,Sat,Northern Illinois,27,Akron,10
10/31/2009,Sat,Notre Dame,40,Washington State,14
10/31/2009,Sat,Ohio,20,Ball State,17
10/31/2009,Sat,Ohio State,45,New Mexico State,0
10/31/2009,Sat,Oklahoma,42,Kansas State,30
10/31/2009,Sat,Oregon,47,USC,20
10/31/2009,Sat,Oregon State,26,UCLA,19
10/31/2009,Sat,Penn State,34,Northwestern,13
10/31/2009,Sat,Rutgers,28,Connecticut,24
10/31/2009,Sat,San Diego State,23,New Mexico,20
10/31/2009,Sat,Southern Methodist,27,Tulsa,13
10/31/2009,Sat,Temple,27,Navy,24
10/31/2009,Sat,Tennessee,31,South Carolina,13
10/31/2009,Sat,Texas,41,Oklahoma State,14
10/31/2009,Sat,Texas A&M,35,Iowa State,10
10/31/2009,Sat,TCU,41,Nevada-Las Vegas,0
10/31/2009,Sat,Texas Tech,42,Kansas,21
10/31/2009,Sat,Troy,42,Louisiana-Monroe,21
10/31/2009,Sat,Utah,22,Wyoming,10
10/31/2009,Sat,Wisconsin,37,Purdue,0
11/1/2009,Sun,Central Florida,21,Marshall,20
11/3/2009,Tue,Bowling Green State,30,Buffalo,29
11/5/2009,Thu,Northern Illinois,50,Eastern Michigan,6
11/5/2009,Thu,Temple,34,Miami (OH),32
11/5/2009,Thu,Virginia Tech,16,East Carolina,3
11/6/2009,Fri,Boise State,45,Louisiana Tech,35
11/7/2009,Sat,Air Force,35,Army,7
11/7/2009,Sat,Akron,28,Kent State,20
11/7/2009,Sat,Alabama,24,LSU,15
11/7/2009,Sat,Alabama-Birmingham,56,Florida Atlantic,29
11/7/2009,Sat,Arizona,48,Washington State,7
11/7/2009,Sat,Arkansas,33,South Carolina,16
11/7/2009,Sat,Auburn,63,Furman,31
11/7/2009,Sat,Baylor,40,Missouri,32
11/7/2009,Sat,Brigham Young,52,Wyoming,0
11/7/2009,Sat,Cincinnati,47,Connecticut,45
11/7/2009,Sat,Clemson,40,Florida State,24
11/7/2009,Sat,Colorado,35,Texas A&M,34
11/7/2009,Sat,Florida,27,Vanderbilt,3
11/7/2009,Sat,Fresno State,31,Idaho,21
11/7/2009,Sat,Georgia,38,Tennessee Tech,0
11/7/2009,Sat,Georgia Tech,30,Wake Forest,27
11/7/2009,Sat,Hawaii,49,Utah State,36
11/7/2009,Sat,Houston,46,Tulsa,45
11/7/2009,Sat,Illinois,35,Minnesota,32
11/7/2009,Sat,Kansas State,17,Kansas,10
11/7/2009,Sat,Kentucky,37,Eastern Kentucky,12
11/7/2009,Sat,Louisiana,21,Arkansas State,18
11/7/2009,Sat,Louisiana-Monroe,33,North Texas,6
11/7/2009,Sat,Miami (Florida),52,Virginia,17
11/7/2009,Sat,Michigan State,49,Western Michigan,14
11/7/2009,Sat,Middle Tennessee State,48,Florida International,21
11/7/2009,Sat,Mississippi,38,Northern Arizona,14
11/7/2009,Sat,Navy,23,Notre Dame,21
11/7/2009,Sat,Nebraska,10,Oklahoma,3
11/7/2009,Sat,Nevada-Las Vegas,35,Colorado State,16
11/7/2009,Sat,North Carolina,19,Duke,6
11/7/2009,Sat,North Carolina State,38,Maryland,31
11/7/2009,Sat,Northwestern,17,Iowa,10
11/7/2009,Sat,Ohio State,24,Penn State,7
11/7/2009,Sat,Oklahoma State,34,Iowa State,8
11/7/2009,Sat,Oregon State,31,California,14
11/7/2009,Sat,Pittsburgh,37,Syracuse,10
11/7/2009,Sat,Purdue,38,Michigan,36
11/7/2009,Sat,USC,14,Arizona State,9
11/7/2009,Sat,Southern Methodist,31,Rice,28
11/7/2009,Sat,Stanford,51,Oregon,42
11/7/2009,Sat,Tennessee,56,Memphis,28
11/7/2009,Sat,Texas,35,Central Florida,3
11/7/2009,Sat,TCU,55,San Diego State,12
11/7/2009,Sat,Troy,40,Western Kentucky,20
11/7/2009,Sat,Tulane,45,Texas-El Paso,38
11/7/2009,Sat,UCLA,24,Washington,23
11/7/2009,Sat,Utah,45,New Mexico,14
11/7/2009,Sat,West Virginia,17,Louisville,9
11/7/2009,Sat,Wisconsin,31,Indiana,28
11/8/2009,Sun,Nevada,62,San Jose State,7
11/10/2009,Tue,Ohio,27,Buffalo,24
11/11/2009,Wed,Central Michigan,56,Toledo,28
11/12/2009,Thu,Bowling Green State,35,Miami (OH),14
11/12/2009,Thu,Northern Illinois,26,Ball State,20
11/12/2009,Thu,Rutgers,31,South Florida,0
11/13/2009,Fri,Cincinnati,24,West Virginia,21
11/13/2009,Fri,Temple,56,Akron,17
11/14/2009,Sat,Air Force,45,Nevada-Las Vegas,17
11/14/2009,Sat,Alabama,31,Mississippi State,3
11/14/2009,Sat,Alabama-Birmingham,31,Memphis,21
11/14/2009,Sat,Arkansas,56,Troy,20
11/14/2009,Sat,Army,22,Virginia Military Institute,17
11/14/2009,Sat,Boise State,63,Idaho,25
11/14/2009,Sat,Boston College,14,Virginia,10
11/14/2009,Sat,Brigham Young,24,New Mexico,19
11/14/2009,Sat,California,24,Arizona,16
11/14/2009,Sat,Central Florida,37,Houston,32
11/14/2009,Sat,Clemson,43,North Carolina State,23
11/14/2009,Sat,Florida,24,South Carolina,14
11/14/2009,Sat,Florida Atlantic,35,Arkansas State,18
11/14/2009,Sat,Florida International,35,North Texas,28
11/14/2009,Sat,Florida State,41,Wake Forest,28
11/14/2009,Sat,Georgia,31,Auburn,24
11/14/2009,Sat,Georgia Tech,49,Duke,10
11/14/2009,Sat,Hawaii,24,New Mexico State,6
11/14/2009,Sat,Iowa State,17,Colorado,10
11/14/2009,Sat,Kentucky,24,Vanderbilt,13
11/14/2009,Sat,LSU,24,Louisiana Tech,16
11/14/2009,Sat,Louisiana-Monroe,21,Western Kentucky,18
11/14/2009,Sat,Louisville,10,Syracuse,9
11/14/2009,Sat,Michigan State,40,Purdue,37
11/14/2009,Sat,Middle Tennessee State,34,Louisiana,17
11/14/2009,Sat,Minnesota,16,South Dakota State,13
11/14/2009,Sat,Mississippi,42,Tennessee,17
11/14/2009,Sat,Missouri,38,Kansas State,12
11/14/2009,Sat,Navy,35,Delaware,18
11/14/2009,Sat,Nebraska,31,Kansas,17
11/14/2009,Sat,Nevada,52,Fresno State,14
11/14/2009,Sat,North Carolina,33,Miami (Florida),24
11/14/2009,Sat,Northwestern,21,Illinois,16
11/14/2009,Sat,Ohio State,27,Iowa,24
11/14/2009,Sat,Oklahoma,65,Texas A&M,10
11/14/2009,Sat,Oklahoma State,24,Texas Tech,17
11/14/2009,Sat,Oregon,44,Arizona State,21
11/14/2009,Sat,Oregon State,48,Washington,21
11/14/2009,Sat,Penn State,31,Indiana,20
11/14/2009,Sat,Pittsburgh,27,Notre Dame,22
11/14/2009,Sat,Rice,28,Tulane,20
11/14/2009,Sat,Southern Methodist,35,Texas-El Paso,31
11/14/2009,Sat,Southern Mississippi,27,Marshall,20
11/14/2009,Sat,Stanford,55,USC,21
11/14/2009,Sat,Texas,47,Baylor,14
11/14/2009,Sat,TCU,55,Utah,28
11/14/2009,Sat,UCLA,43,Washington State,7
11/14/2009,Sat,Utah State,24,San Jose State,9
11/14/2009,Sat,Virginia Tech,36,Maryland,9
11/14/2009,Sat,Western Michigan,35,Eastern Michigan,14
11/14/2009,Sat,Wisconsin,45,Michigan,24
11/14/2009,Sat,Wyoming,30,San Diego State,27
11/15/2009,Sun,East Carolina,44,Tulsa,17
11/18/2009,Wed,Buffalo,42,Miami (OH),17
11/18/2009,Wed,Central Michigan,35,Ball State,3
11/19/2009,Thu,Oklahoma State,31,Colorado,28
11/20/2009,Fri,Boise State,52,Utah State,21
11/20/2009,Fri,Bowling Green State,36,Akron,20
11/20/2009,Fri,Toledo,47,Eastern Michigan,21
11/21/2009,Sat,Alabama,45,Chattanooga,0
11/21/2009,Sat,Arkansas,42,Mississippi State,21
11/21/2009,Sat,Army,17,North Texas,13
11/21/2009,Sat,Brigham Young,38,Air Force,21
11/21/2009,Sat,California,34,Stanford,28
11/21/2009,Sat,Central Florida,49,Tulane,0
11/21/2009,Sat,Clemson,34,Virginia,21
11/21/2009,Sat,Connecticut,33,Notre Dame,30
11/21/2009,Sat,East Carolina,37,Alabama-Birmingham,21
11/21/2009,Sat,Florida,62,Florida International,3
11/21/2009,Sat,Florida State,29,Maryland,26
11/21/2009,Sat,Fresno State,30,Louisiana Tech,28
11/21/2009,Sat,Hawaii,17,San Jose State,10
11/21/2009,Sat,Houston,55,Memphis,14
11/21/2009,Sat,Iowa,12,Minnesota,0
11/21/2009,Sat,Kentucky,34,Georgia,27
11/21/2009,Sat,Louisiana,21,Louisiana-Monroe,17
11/21/2009,Sat,Marshall,34,Southern Methodist,31
11/21/2009,Sat,Miami (Florida),34,Duke,16
11/21/2009,Sat,Middle Tennessee State,38,Arkansas State,14
11/21/2009,Sat,Mississippi,25,LSU,23
11/21/2009,Sat,Missouri,34,Iowa State,24
11/21/2009,Sat,Nebraska,17,Kansas State,3
11/21/2009,Sat,Nevada,63,New Mexico State,20
11/21/2009,Sat,New Mexico,29,Colorado State,27
11/21/2009,Sat,North Carolina,31,Boston College,13
11/21/2009,Sat,Northwestern,33,Wisconsin,31
11/21/2009,Sat,Ohio,38,Northern Illinois,31
11/21/2009,Sat,Ohio State,21,Michigan,10
11/21/2009,Sat,Oregon,44,Arizona,41
11/21/2009,Sat,Oregon State,42,Washington State,10
11/21/2009,Sat,Penn State,42,Michigan State,14
11/21/2009,Sat,Purdue,38,Indiana,21
11/21/2009,Sat,Rice,30,Texas-El Paso,29
11/21/2009,Sat,South Florida,34,Louisville,22
11/21/2009,Sat,Southern Mississippi,44,Tulsa,34
11/21/2009,Sat,Syracuse,31,Rutgers,13
11/21/2009,Sat,Temple,47,Kent State,13
11/21/2009,Sat,Tennessee,31,Vanderbilt,16
11/21/2009,Sat,Texas,51,Kansas,20
11/21/2009,Sat,Texas A&M,38,Baylor,3
11/21/2009,Sat,TCU,45,Wyoming,10
11/21/2009,Sat,Texas Tech,41,Oklahoma,13
11/21/2009,Sat,Troy,47,Florida Atlantic,21
11/21/2009,Sat,UCLA,23,Arizona State,13
11/21/2009,Sat,Utah,38,San Diego State,7
11/21/2009,Sat,Virginia Tech,38,North Carolina State,10
11/24/2009,Tue,Ball State,22,Western Michigan,17
11/26/2009,Thu,Texas,49,Texas A&M,39
11/27/2009,Fri,Akron,28,Eastern Michigan,21
11/27/2009,Fri,Alabama,26,Auburn,21
11/27/2009,Fri,Boise State,44,Nevada,33
11/27/2009,Fri,Bowling Green State,38,Toledo,24
11/27/2009,Fri,Buffalo,9,Kent State,6
11/27/2009,Fri,Central Michigan,45,Northern Illinois,31
11/27/2009,Fri,Cincinnati,49,Illinois,36
11/27/2009,Fri,Nebraska,28,Colorado,20
11/27/2009,Fri,Ohio,35,Temple,17
11/27/2009,Fri,Rutgers,34,Louisville,14
11/27/2009,Fri,Tulsa,33,Memphis,30
11/27/2009,Fri,West Virginia,19,Pittsburgh,16
11/27/2009,Fri,Wyoming,17,Colorado State,16
11/28/2009,Sat,Arizona,20,Arizona State,17
11/28/2009,Sat,Arkansas State,30,North Texas,26
11/28/2009,Sat,Boston College,19,Maryland,17
11/28/2009,Sat,Brigham Young,26,Utah,23
11/28/2009,Sat,Central Florida,34,Alabama-Birmingham,27
11/28/2009,Sat,Connecticut,56,Syracuse,31
11/28/2009,Sat,East Carolina,25,Southern Mississippi,20
11/28/2009,Sat,Florida,37,Florida State,10
11/28/2009,Sat,Florida Atlantic,29,Western Kentucky,23
11/28/2009,Sat,Georgia,30,Georgia Tech,24
11/28/2009,Sat,Hawaii,24,Navy,17
11/28/2009,Sat,Houston,73,Rice,14
11/28/2009,Sat,LSU,33,Arkansas,30
11/28/2009,Sat,Miami (Florida),31,South Florida,10
11/28/2009,Sat,Middle Tennessee State,38,Louisiana-Monroe,19
11/28/2009,Sat,Mississippi State,41,Mississippi,27
11/28/2009,Sat,Missouri,41,Kansas,39
11/28/2009,Sat,Nevada-Las Vegas,28,San Diego State,24
11/28/2009,Sat,North Carolina State,28,North Carolina,27
11/28/2009,Sat,Oklahoma,27,Oklahoma State,0
11/28/2009,Sat,San Jose State,13,New Mexico State,10
11/28/2009,Sat,South Carolina,34,Clemson,17
11/28/2009,Sat,USC,28,UCLA,7
11/28/2009,Sat,Southern Methodist,26,Tulane,21
11/28/2009,Sat,Stanford,45,Notre Dame,38
11/28/2009,Sat,Tennessee,30,Kentucky,24
11/28/2009,Sat,TCU,51,New Mexico,10
11/28/2009,Sat,Texas Tech,20,Baylor,13
11/28/2009,Sat,Texas Tech,20,Baylor,13
11/28/2009,Sat,Texas-El Paso,52,Marshall,21
11/28/2009,Sat,Troy,48,Louisiana,31
11/28/2009,Sat,Utah State,52,Idaho,49
11/28/2009,Sat,Virginia Tech,42,Virginia,13
11/28/2009,Sat,Wake Forest,45,Duke,34
11/28/2009,Sat,Washington,30,Washington State,0
12/3/2009,Thu,Arkansas State,24,Western Kentucky,20
12/3/2009,Thu,Oregon,37,Oregon State,33
12/4/2009,Fri,Central Michigan,20,Ohio,10
12/5/2009,Sat,Alabama,32,Florida,13
12/5/2009,Sat,Arizona,21,USC,17
12/5/2009,Sat,Boise State,42,New Mexico State,7
12/5/2009,Sat,Cincinnati,45,Pittsburgh,44
12/5/2009,Sat,Connecticut,29,South Florida,27
12/5/2009,Sat,East Carolina,38,Houston,32
12/5/2009,Sat,Florida Atlantic,28,Florida International,21
12/5/2009,Sat,Fresno State,53,Illinois,52
12/5/2009,Sat,Georgia Tech,39,Clemson,34
12/5/2009,Sat,Louisiana Tech,55,San Jose State,20
12/5/2009,Sat,Texas,13,Nebraska,12
12/5/2009,Sat,Washington,42,California,10
12/5/2009,Sat,West Virginia,24,Rutgers,21
12/5/2009,Sat,Wisconsin,51,Hawaii,10
12/12/2009,Sat,Navy,17,Army,3
12/12/2009,Sat,Navy,17,Army,3
12/19/2009,Sat,Rutgers,45,Central Florida,24
12/19/2009,Sat,Rutgers,45,Central Florida,24
12/19/2009,Sat,Wyoming,35,Fresno State,28
12/20/2009,Sun,Middle Tennessee State,42,Southern Mississippi,32
12/20/2009,Sun,Middle Tennessee State,42,Southern Mississippi,32
12/22/2009,Tue,Brigham Young,44,Oregon State,20
12/22/2009,Tue,Brigham Young,44,Oregon State,20
12/23/2009,Wed,Utah,37,California,27
12/24/2009,Thu,Southern Methodist,45,Nevada,10
12/26/2009,Sat,Marshall,21,Ohio,17
12/26/2009,Sat,Pittsburgh,19,North Carolina,17
12/26/2009,Sat,Pittsburgh,19,North Carolina,17
12/26/2009,Sat,USC,24,Boston College,13
12/26/2009,Sat,USC,24,Boston College,13
12/27/2009,Sun,Clemson,21,Kentucky,13
12/28/2009,Mon,Georgia,44,Texas A&M,20
12/29/2009,Tue,UCLA,30,Temple,21
12/29/2009,Tue,Wisconsin,20,Miami (Florida),14
12/30/2009,Wed,Idaho,43,Bowling Green State,42
12/30/2009,Wed,Idaho,43,Bowling Green State,42
12/30/2009,Wed,Nebraska,33,Arizona,0
12/31/2009,Thu,Air Force,47,Houston,20
12/31/2009,Thu,Air Force,47,Houston,20
12/31/2009,Thu,Iowa State,14,Minnesota,13
12/31/2009,Thu,Iowa State,14,Minnesota,13
12/31/2009,Thu,Navy,35,Missouri,13
12/31/2009,Thu,Oklahoma,31,Stanford,27
12/31/2009,Thu,Virginia Tech,37,Tennessee,14
12/31/2009,Thu,Virginia Tech,37,Tennessee,14
1/1/2010,Fri,Auburn,38,Northwestern,35
1/1/2010,Fri,Florida,51,Cincinnati,24
1/1/2010,Fri,Florida,51,Cincinnati,24
1/1/2010,Fri,Florida State,33,West Virginia,21
1/1/2010,Fri,Florida State,33,West Virginia,21
1/1/2010,Fri,Ohio State,26,Oregon,17
1/1/2010,Fri,Ohio State,26,Oregon,17
1/1/2010,Fri,Penn State,19,LSU,17
1/1/2010,Fri,Penn State,19,LSU,17
1/2/2010,Sat,Arkansas,20,East Carolina,17
1/2/2010,Sat,Arkansas,20,East Carolina,17
1/2/2010,Sat,Connecticut,20,South Carolina,7
1/2/2010,Sat,Connecticut,20,South Carolina,7
1/2/2010,Sat,Mississippi,21,Oklahoma State,7
1/2/2010,Sat,Mississippi,21,Oklahoma State,7
1/2/2010,Sat,South Florida,27,Northern Illinois,3
1/2/2010,Sat,South Florida,27,Northern Illinois,3
1/2/2010,Sat,Texas Tech,41,Michigan State,31
1/2/2010,Sat,Texas Tech,41,Michigan State,31
1/4/2010,Mon,Boise State,17,TCU,10
1/4/2010,Mon,Boise State,17,TCU,10
1/5/2010,Tue,Iowa,24,Georgia Tech,14
1/6/2010,Wed,Central Michigan,44,Troy,41
1/7/2010,Thu,Alabama,37,Texas,21
