Date,Day,Winner,Pts,Loser,Pts
9/12/2009,Sat,North Carolina State,65,Murray State,7
9/12/2009,Sat,Northern Illinois,41,Western Illinois,7
9/12/2009,Sat,Northwestern,27,Eastern Michigan,24
9/12/2009,Sat,Ohio,31,North Texas,30
9/12/2009,Sat,Oklahoma,64,Idaho State,0
9/12/2009,Sat,Oregon,38,Purdue,36
9/12/2009,Sat,Oregon State,23,Nevada-Las Vegas,21
9/12/2009,Sat,Penn State,28,Syracuse,7
9/12/2009,Sat,Pittsburgh,54,Buffalo,27
9/12/2009,Sat,Rutgers,45,Howard,7
9/12/2009,Sat,San Diego State,35,Southern Utah,19
9/12/2009,Sat,South Florida,35,Western Kentucky,13
9/12/2009,Sat,USC,18,Ohio State,15
9/12/2009,Sat,Southern Methodist,35,Alabama-Birmingham,33
9/12/2009,Sat,Southern Mississippi,26,Central Florida,19
9/12/2009,Sat,Texas,41,Wyoming,10
9/12/2009,Sat,TCU,30,Virginia,14
9/12/2009,Sat,Texas Tech,55,Rice,10
9/12/2009,Sat,Tulsa,44,New Mexico,10
9/12/2009,Sat,UCLA,19,Tennessee,15
9/12/2009,Sat,Utah,24,San Jose State,14
9/12/2009,Sat,Virginia Tech,52,Marshall,10
9/12/2009,Sat,Wake Forest,24,Stanford,17
9/12/2009,Sat,Washington,42,Idaho,23
9/12/2009,Sat,West Virginia,35,East Carolina,20
9/12/2009,Sat,Wisconsin,34,Fresno State,31
9/17/2009,Thu,Miami (Florida),33,Georgia Tech,17
9/18/2009,Fri,Boise State,51,Fresno State,34
9/19/2009,Sat,Air Force,37,New Mexico,13
9/19/2009,Sat,Alabama,53,North Texas,7
9/19/2009,Sat,Arizona State,38,Louisiana-Monroe,14
9/19/2009,Sat,Army,24,Ball State,17
9/19/2009,Sat,Auburn,41,West Virginia,30
9/19/2009,Sat,California,35,Minnesota,21
9/19/2009,Sat,Central Arkansas,28,Western Kentucky,7
9/19/2009,Sat,Central Florida,23,Buffalo,17
9/19/2009,Sat,Central Michigan,48,Alcorn State,0
9/19/2009,Sat,Cincinnati,28,Oregon State,18
9/19/2009,Sat,Clemson,25,Boston College,7
9/19/2009,Sat,Colorado,24,Wyoming,0
9/19/2009,Sat,Colorado State,35,Nevada,20
9/19/2009,Sat,Connecticut,30,Baylor,22
9/19/2009,Sat,Florida,23,Tennessee,13
9/19/2009,Sat,Florida State,54,Brigham Young,28
9/19/2009,Sat,Georgia,52,Arkansas,41
9/19/2009,Sat,Idaho,34,San Diego State,20
9/19/2009,Sat,Indiana,38,Akron,21
9/19/2009,Sat,Iowa,27,Arizona,17
9/19/2009,Sat,Iowa State,34,Kent State,14
9/19/2009,Sat,Kansas,44,Duke,16
9/19/2009,Sat,Kentucky,31,Louisville,27
9/19/2009,Sat,LSU,31,Louisiana,3
9/19/2009,Sat,Louisiana Tech,48,Nicholls State,13
9/19/2009,Sat,Marshall,17,Bowling Green State,10
9/19/2009,Sat,Memphis,41,Tennessee-Martin,14
9/19/2009,Sat,Michigan,45,Eastern Michigan,17
9/19/2009,Sat,Middle Tennessee State,32,Maryland,31
9/19/2009,Sat,Mississippi,52,Southeastern Louisiana,6
9/19/2009,Sat,Mississippi State,15,Vanderbilt,3
9/19/2009,Sat,Missouri,52,Furman,12
9/19/2009,Sat,Nevada-Las Vegas,34,Hawaii,33
9/19/2009,Sat,North Carolina,31,East Carolina,17
9/19/2009,Sat,North Carolina State,45,Gardner-Webb,14
9/19/2009,Sat,Northern Illinois,28,Purdue,21
9/19/2009,Sat,Notre Dame,33,Michigan State,30
9/19/2009,Sat,Ohio,28,Cal Poly,10
9/19/2009,Sat,Ohio State,38,Toledo,0
9/19/2009,Sat,Ohio State,38,Toledo,0
9/19/2009,Sat,Oklahoma,45,Tulsa,0
9/19/2009,Sat,Oklahoma State,41,Rice,24
9/19/2009,Sat,Oregon,31,Utah,24
9/19/2009,Sat,Penn State,31,Temple,6
9/19/2009,Sat,Pittsburgh,27,Navy,14
9/19/2009,Sat,Rutgers,23,Florida International,15
9/19/2009,Sat,South Carolina,38,Florida Atlantic,16
9/19/2009,Sat,South Florida,59,Charleston Southern,0
9/19/2009,Sat,Southern Mississippi,37,Virginia,34
9/19/2009,Sat,Stanford,42,San Jose State,17
9/19/2009,Sat,Syracuse,37,Northwestern,34
9/19/2009,Sat,Texas,34,Texas Tech,24
9/19/2009,Sat,Texas A&M,38,Utah State,30
9/19/2009,Sat,TCU,56,Texas State,21
9/19/2009,Sat,Texas-El Paso,38,New Mexico State,12
9/19/2009,Sat,Troy,27,Alabama-Birmingham,14
9/19/2009,Sat,UCLA,23,Kansas State,9
9/19/2009,Sat,Virginia Tech,16,Nebraska,15
9/19/2009,Sat,Wake Forest,35,Elon,7
9/19/2009,Sat,Washington,16,USC,13
9/19/2009,Sat,Washington State,30,Southern Methodist,27
9/19/2009,Sat,Western Michigan,48,Miami (OH),26
9/19/2009,Sat,Wisconsin,44,Wofford,14
9/24/2009,Thu,South Carolina,16,Mississippi,10
9/25/2009,Fri,Missouri,31,Nevada,21
9/26/2009,Sat,Air Force,26,San Diego State,14
9/26/2009,Sat,Alabama,35,Arkansas,7
9/26/2009,Sat,Arizona,37,Oregon State,32
9/26/2009,Sat,Auburn,54,Ball State,30
9/26/2009,Sat,Baylor,68,Northwestern State,13
9/26/2009,Sat,Boise State,49,Bowling Green State,14
9/26/2009,Sat,Boston College,27,Wake Forest,24
9/26/2009,Sat,Brigham Young,42,Colorado State,23
9/26/2009,Sat,Central Michigan,48,Akron,21
9/26/2009,Sat,Cincinnati,28,Fresno State,20
9/26/2009,Sat,Connecticut,52,Rhode Island,10
9/26/2009,Sat,Duke,49,North Carolina Central,14
9/26/2009,Sat,East Carolina,19,Central Florida,14
9/26/2009,Sat,Florida,41,Kentucky,7
9/26/2009,Sat,Georgia,20,Arizona State,17
9/26/2009,Sat,Georgia Tech,24,North Carolina,7
9/26/2009,Sat,Houston,29,Texas Tech,28
9/26/2009,Sat,Idaho,34,Northern Illinois,31
9/26/2009,Sat,Iowa,21,Penn State,10
9/26/2009,Sat,Iowa State,31,Army,10
9/26/2009,Sat,Kansas,35,Southern Mississippi,28
9/26/2009,Sat,Kansas State,49,Tennessee Tech,7
9/26/2009,Sat,Kent State,29,Miami (OH),19
9/26/2009,Sat,LSU,30,Mississippi State,26
9/26/2009,Sat,Louisiana-Monroe,27,Florida Atlantic,25
9/26/2009,Sat,Marshall,27,Memphis,16
9/26/2009,Sat,Michigan,36,Indiana,33
9/26/2009,Sat,Middle Tennessee State,37,North Texas,21
9/26/2009,Sat,Minnesota,35,Northwestern,24
9/26/2009,Sat,Navy,38,Western Kentucky,22
9/26/2009,Sat,Nebraska,55,Louisiana,0
9/26/2009,Sat,New Mexico State,20,New Mexico,17
9/26/2009,Sat,North Carolina State,38,Pittsburgh,31
9/26/2009,Sat,Notre Dame,24,Purdue,21
9/26/2009,Sat,Ohio State,30,Illinois,0
9/26/2009,Sat,Oklahoma State,56,Grambling State,6
9/26/2009,Sat,Oregon,42,California,3
9/26/2009,Sat,Rutgers,34,Maryland,13
9/26/2009,Sat,San Jose State,19,Cal Poly,9
9/26/2009,Sat,South Florida,17,Florida State,7
9/26/2009,Sat,USC,27,Washington State,6
9/26/2009,Sat,Stanford,34,Washington,14
9/26/2009,Sat,Syracuse,41,Maine,24
9/26/2009,Sat,Temple,37,Buffalo,13
9/26/2009,Sat,Tennessee,34,Ohio,23
9/26/2009,Sat,Texas,64,Texas-El Paso,7
9/26/2009,Sat,Texas A&M,56,Alabama-Birmingham,19
9/26/2009,Sat,TCU,14,Clemson,10
9/26/2009,Sat,Toledo,41,Florida International,31
9/26/2009,Sat,Troy,30,Arkansas State,27
9/26/2009,Sat,Tulane,42,McNeese State,32
9/26/2009,Sat,Tulsa,56,Sam Houston State,3
9/26/2009,Sat,Utah,30,Louisville,14
9/26/2009,Sat,Utah State,53,Southern Utah,34
9/26/2009,Sat,Vanderbilt,36,Rice,17
9/26/2009,Sat,Virginia Tech,31,Miami (Florida),7
9/26/2009,Sat,Western Michigan,24,Hofstra,10
9/26/2009,Sat,Wisconsin,38,Michigan State,30
9/26/2009,Sat,Wyoming,30,Nevada-Las Vegas,27
9/30/2009,Wed,Louisiana Tech,27,Hawaii,6
10/1/2009,Thu,Alabama-Birmingham,30,Southern Mississippi,17
10/1/2009,Thu,West Virginia,35,Colorado,24
10/2/2009,Fri,Brigham Young,35,Utah State,17
10/2/2009,Fri,Pittsburgh,35,Louisville,10
10/3/2009,Sat,Alabama,38,Kentucky,20
10/3/2009,Sat,Arkansas,47,Texas A&M,19
10/3/2009,Sat,Arkansas,47,Texas A&M,19
10/3/2009,Sat,Auburn,26,Tennessee,22
10/3/2009,Sat,Baylor,31,Kent State,15
10/3/2009,Sat,Boise State,34,California-Davis,16
10/3/2009,Sat,Boston College,28,Florida State,21
10/3/2009,Sat,Central Florida,32,Memphis,14
10/3/2009,Sat,Central Michigan,20,Buffalo,13
10/3/2009,Sat,Cincinnati,37,Miami (OH),13
10/3/2009,Sat,East Carolina,21,Marshall,17
10/3/2009,Sat,Georgia Tech,42,Mississippi State,31
10/3/2009,Sat,Idaho,31,Colorado State,29
10/3/2009,Sat,Iowa,24,Arkansas State,21
10/3/2009,Sat,Kansas State,24,Iowa State,23
10/3/2009,Sat,Kansas State,24,Iowa State,23
10/3/2009,Sat,LSU,20,Georgia,13
10/3/2009,Sat,Louisiana-Monroe,48,Florida International,35
10/3/2009,Sat,Maryland,24,Clemson,21
10/3/2009,Sat,Miami (Florida),21,Oklahoma,20
10/3/2009,Sat,Michigan State,26,Michigan,20
10/3/2009,Sat,Mississippi,23,Vanderbilt,7
10/3/2009,Sat,Navy,16,Air Force,13
10/3/2009,Sat,Nevada,63,Nevada-Las Vegas,28
10/3/2009,Sat,Northern Illinois,38,Western Michigan,3
10/3/2009,Sat,Northwestern,27,Purdue,21
10/3/2009,Sat,Notre Dame,37,Washington,30
10/3/2009,Sat,Ohio,44,Bowling Green State,37
10/3/2009,Sat,Ohio State,33,Indiana,14
10/3/2009,Sat,Oregon,52,Washington State,6
10/3/2009,Sat,Oregon State,28,Arizona State,17
10/3/2009,Sat,Penn State,35,Illinois,17
10/3/2009,Sat,San Diego State,34,New Mexico State,17
10/3/2009,Sat,South Carolina,38,South Carolina State,14
10/3/2009,Sat,South Florida,34,Syracuse,20
10/3/2009,Sat,USC,30,California,3
10/3/2009,Sat,Stanford,24,UCLA,16
10/3/2009,Sat,Temple,24,Eastern Michigan,12
10/3/2009,Sat,TCU,39,Southern Methodist,14
10/3/2009,Sat,Texas Tech,48,New Mexico,28
10/3/2009,Sat,Texas-El Paso,58,Houston,41
10/3/2009,Sat,Toledo,37,Ball State,30
10/3/2009,Sat,Tulane,17,Army,16
10/3/2009,Sat,Tulsa,27,Rice,10
10/3/2009,Sat,Virginia,16,North Carolina,3
10/3/2009,Sat,Virginia Tech,34,Duke,26
10/3/2009,Sat,Wake Forest,30,North Carolina State,24
10/3/2009,Sat,Wisconsin,31,Minnesota,28
10/3/2009,Sat,Wyoming,30,Florida Atlantic,28
10/6/2009,Tue,Troy,31,Middle Tennessee State,7
10/8/2009,Thu,Nebraska,27,Missouri,12
10/9/2009,Fri,Nevada,37,Louisiana Tech,14
10/10/2009,Sat,Alabama,22,Mississippi,3
10/10/2009,Sat,Arizona State,27,Washington State,14
10/10/2009,Sat,Arkansas,44,Auburn,23
10/10/2009,Sat,Army,16,Vanderbilt,13
10/10/2009,Sat,Bowling Green State,36,Kent State,35
10/10/2009,Sat,Brigham Young,59,Nevada-Las Vegas,21
10/10/2009,Sat,Buffalo,40,Gardner-Webb,3
10/10/2009,Sat,Central Michigan,56,Eastern Michigan,8
10/10/2009,Sat,Duke,49,North Carolina State,28
10/10/2009,Sat,Florida,13,LSU,3
10/10/2009,Sat,Florida International,37,Western Kentucky,20
10/10/2009,Sat,Fresno State,42,Hawaii,17
10/10/2009,Sat,Georgia Tech,49,Florida State,44
10/10/2009,Sat,Houston,31,Mississippi State,24
10/10/2009,Sat,Idaho,29,San Jose State,25
10/10/2009,Sat,Iowa,30,Michigan,28
10/10/2009,Sat,Kansas,41,Iowa State,36
10/10/2009,Sat,Louisiana,38,North Texas,34
10/10/2009,Sat,Louisville,25,Southern Mississippi,23
10/10/2009,Sat,Marshall,31,Tulane,10
10/10/2009,Sat,Memphis,35,Texas-El Paso,20
10/10/2009,Sat,Miami (Florida),48,Florida A&M,16
10/10/2009,Sat,Michigan State,24,Illinois,14
10/10/2009,Sat,Minnesota,35,Purdue,20
10/10/2009,Sat,Navy,63,Rice,14
10/10/2009,Sat,New Mexico State,20,Utah State,17
10/10/2009,Sat,North Carolina,42,Georgia Southern,12
10/10/2009,Sat,Northwestern,16,Miami (OH),6
10/10/2009,Sat,Ohio,19,Akron,7
