Date,Day,Winner,Pts,Loser,Pts
9/27/2012,Thu,Washington,17,Stanford,13
9/28/2012,Fri,Brigham Young,47,Hawaii,0
9/29/2012,Sat,Air Force,42,Colorado State,21
9/29/2012,Sat,Alabama,33,Mississippi,14
9/29/2012,Sat,Arizona State,27,California,17
9/29/2012,Sat,Boise State,32,New Mexico,29
9/29/2012,Sat,Bowling Green State,48,Rhode Island,8
9/29/2012,Sat,Cincinnati,27,Virginia Tech,24
9/29/2012,Sat,Clemson,45,Boston College,31
9/29/2012,Sat,Connecticut,24,Buffalo,17
9/29/2012,Sat,Duke,34,Wake Forest,27
9/29/2012,Sat,East Carolina,28,Texas-El Paso,18
9/29/2012,Sat,Florida State,30,South Florida,17
9/29/2012,Sat,Fresno State,52,San Diego State,40
9/29/2012,Sat,Georgia,51,Tennessee,44
9/29/2012,Sat,Houston,35,Rice,14
9/29/2012,Sat,Iowa,31,Minnesota,13
9/29/2012,Sat,Kent State,45,Ball State,43
9/29/2012,Sat,Louisiana,48,Florida International,20
9/29/2012,Sat,LSU,38,Towson,22
9/29/2012,Sat,Louisiana Tech,44,Virginia,38
9/29/2012,Sat,Louisiana-Monroe,63,Tulane,10
9/29/2012,Sat,Louisville,21,Southern Mississippi,17
9/29/2012,Sat,Miami (Florida),44,North Carolina State,37
9/29/2012,Sat,Miami (OH),56,Akron,49
9/29/2012,Sat,Middle Tennessee State,49,Georgia Tech,28
9/29/2012,Sat,Missouri,21,Central Florida,16
9/29/2012,Sat,Nebraska,30,Wisconsin,27
9/29/2012,Sat,Nevada,34,Texas State,21
9/29/2012,Sat,North Carolina,66,Idaho,0
9/29/2012,Sat,North Texas,20,Florida Atlantic,14
9/29/2012,Sat,Northern Illinois,55,Central Michigan,24
9/29/2012,Sat,Northwestern,44,Indiana,29
9/29/2012,Sat,Ohio,37,Massachusetts,34
9/29/2012,Sat,Ohio State,17,Michigan State,16
9/29/2012,Sat,Oregon,51,Washington State,26
9/29/2012,Sat,Oregon State,38,Arizona,35
9/29/2012,Sat,Penn State,35,Illinois,7
9/29/2012,Sat,Purdue,51,Marshall,41
9/29/2012,Sat,San Jose State,12,Navy,0
9/29/2012,Sat,South Carolina,38,Kentucky,17
9/29/2012,Sat,Stony Brook,23,Army,3
9/29/2012,Sat,Texas,41,Oklahoma State,36
9/29/2012,Sat,Texas A&M,58,Arkansas,10
9/29/2012,Sat,TCU,24,Southern Methodist,16
9/29/2012,Sat,Texas Tech,24,Iowa State,13
9/29/2012,Sat,Texas-San Antonio,35,New Mexico State,14
9/29/2012,Sat,Toledo,37,Western Michigan,17
9/29/2012,Sat,Troy,31,South Alabama,10
9/29/2012,Sat,Tulsa,49,Alabama-Birmingham,42
9/29/2012,Sat,UCLA,42,Colorado,14
9/29/2012,Sat,Utah State,35,Nevada-Las Vegas,13
9/29/2012,Sat,West Virginia,70,Baylor,63
9/29/2012,Sat,Western Kentucky,26,Arkansas State,13
10/4/2012,Thu,Arkansas State,34,Florida International,20
10/4/2012,Thu,Central Florida,40,East Carolina,20
10/4/2012,Thu,Southern California,38,Utah,28
10/5/2012,Fri,Brigham Young,6,Utah State,3
10/5/2012,Fri,Syracuse,14,Pittsburgh,13
10/6/2012,Sat,Alabama-Birmingham,52,Southeastern Louisiana,3
10/6/2012,Sat,Arkansas,24,Auburn,7
10/6/2012,Sat,Army,34,Boston College,31
10/6/2012,Sat,Boise State,40,Southern Mississippi,14
10/6/2012,Sat,Bowling Green State,24,Akron,10
10/6/2012,Sat,California,43,UCLA,17
10/6/2012,Sat,Cincinnati,52,Miami (OH),14
10/6/2012,Sat,Clemson,47,Georgia Tech,31
10/6/2012,Sat,Duke,42,Virginia,17
10/6/2012,Sat,Florida,14,LSU,6
10/6/2012,Sat,Fresno State,28,Colorado State,7
10/6/2012,Sat,Houston,44,North Texas,21
10/6/2012,Sat,Idaho,26,New Mexico State,18
10/6/2012,Sat,Iowa State,37,TCU,23
10/6/2012,Sat,Kansas State,56,Kansas,16
10/6/2012,Sat,Kent State,41,Eastern Michigan,14
10/6/2012,Sat,Louisiana,41,Tulane,13
10/6/2012,Sat,Louisiana Tech,58,Nevada-Las Vegas,31
10/6/2012,Sat,Louisiana-Monroe,31,Middle Tennessee State,17
10/6/2012,Sat,Maryland,19,Wake Forest,14
10/6/2012,Sat,Memphis,14,Rice,10
10/6/2012,Sat,Michigan,44,Purdue,13
10/6/2012,Sat,Michigan State,31,Indiana,27
10/6/2012,Sat,Mississippi State,27,Kentucky,14
10/6/2012,Sat,Navy,28,Air Force,21
10/6/2012,Sat,Nevada,35,Wyoming,28
10/6/2012,Sat,New Mexico,35,Texas State,14
10/6/2012,Sat,North Carolina,48,Virginia Tech,34
10/6/2012,Sat,North Carolina State,17,Florida State,16
10/6/2012,Sat,Northern Illinois,35,Ball State,23
10/6/2012,Sat,Notre Dame,41,Miami (Florida),3
10/6/2012,Sat,Ohio,38,Buffalo,31
10/6/2012,Sat,Ohio State,63,Nebraska,38
10/6/2012,Sat,Oklahoma,41,Texas Tech,20
10/6/2012,Sat,Oregon,52,Washington,21
10/6/2012,Sat,Oregon State,19,Washington State,6
10/6/2012,Sat,Penn State,39,Northwestern,28
10/6/2012,Sat,Rutgers,19,Connecticut,3
10/6/2012,Sat,San Diego State,52,Hawaii,14
10/6/2012,Sat,South Carolina,35,Georgia,7
10/6/2012,Sat,Southern Methodist,17,Texas-El Paso,0
10/6/2012,Sat,Stanford,54,Arizona,48
10/6/2012,Sat,Temple,37,South Florida,28
10/6/2012,Sat,Texas A&M,30,Mississippi,27
10/6/2012,Sat,Toledo,50,Central Michigan,35
10/6/2012,Sat,Tulsa,45,Marshall,38
10/6/2012,Sat,Vanderbilt,19,Missouri,15
10/6/2012,Sat,West Virginia,48,Texas,45
10/6/2012,Sat,Western Michigan,52,Massachusetts,14
10/6/2012,Sat,Wisconsin,31,Illinois,14
10/11/2012,Thu,Arizona State,51,Colorado,17
10/11/2012,Thu,Tulsa,33,Texas-El Paso,11
10/11/2012,Thu,Western Kentucky,31,Troy,26
10/12/2012,Fri,Navy,31,Central Michigan,13
10/13/2012,Sat,Air Force,28,Wyoming,27
10/13/2012,Sat,Alabama,42,Missouri,10
10/13/2012,Sat,Arkansas,49,Kentucky,7
10/13/2012,Sat,Arkansas State,36,South Alabama,29
10/13/2012,Sat,Ball State,30,Western Michigan,24
10/13/2012,Sat,Boise State,20,Fresno State,10
10/13/2012,Sat,Bowling Green State,37,Miami (OH),12
10/13/2012,Sat,California,31,Washington State,17
10/13/2012,Sat,Central Florida,38,Southern Mississippi,31
10/13/2012,Sat,Cincinnati,49,Fordham,17
10/13/2012,Sat,East Carolina,41,Memphis,7
10/13/2012,Sat,Florida,31,Vanderbilt,17
10/13/2012,Sat,Florida State,51,Boston College,7
10/13/2012,Sat,Houston,39,Alabama-Birmingham,17
10/13/2012,Sat,Iowa,19,Michigan State,16
10/13/2012,Sat,Kansas State,27,Iowa State,21
10/13/2012,Sat,Kent State,31,Army,17
10/13/2012,Sat,LSU,23,South Carolina,21
10/13/2012,Sat,Louisiana-Monroe,35,Florida Atlantic,14
10/13/2012,Sat,Louisville,45,Pittsburgh,35
10/13/2012,Sat,Maryland,27,Virginia,20
10/13/2012,Sat,Michigan,45,Illinois,0
10/13/2012,Sat,Middle Tennessee State,34,Florida International,30
10/13/2012,Sat,Mississippi,41,Auburn,20
10/13/2012,Sat,Mississippi State,41,Tennessee,31
10/13/2012,Sat,Nevada,42,Nevada-Las Vegas,37
10/13/2012,Sat,New Mexico,35,Hawaii,23
10/13/2012,Sat,North Carolina,18,Miami (Florida),14
10/13/2012,Sat,Northern Illinois,45,Buffalo,3
10/13/2012,Sat,Northwestern,21,Minnesota,13
10/13/2012,Sat,Notre Dame,20,Stanford,13
10/13/2012,Sat,Ohio,34,Akron,28
10/13/2012,Sat,Ohio State,52,Indiana,49
10/13/2012,Sat,Oklahoma,63,Texas,21
10/13/2012,Sat,Oklahoma State,20,Kansas,14
10/13/2012,Sat,Oregon State,42,Brigham Young,24
10/13/2012,Sat,Rice,34,Texas-San Antonio,14
10/13/2012,Sat,Rutgers,23,Syracuse,15
10/13/2012,Sat,San Diego State,38,Colorado State,14
10/13/2012,Sat,Southern California,24,Washington,14
10/13/2012,Sat,Temple,17,Connecticut,14
10/13/2012,Sat,Texas A&M,59,Louisiana Tech,57
10/13/2012,Sat,TCU,49,Baylor,21
10/13/2012,Sat,Texas State,38,Idaho,7
10/13/2012,Sat,Texas Tech,49,West Virginia,14
10/13/2012,Sat,Toledo,52,Eastern Michigan,47
10/13/2012,Sat,Tulane,27,Southern Methodist,26
10/13/2012,Sat,UCLA,21,Utah,14
10/13/2012,Sat,Utah State,49,San Jose State,27
10/13/2012,Sat,Virginia Tech,41,Duke,20
10/13/2012,Sat,Wisconsin,38,Purdue,14
10/16/2012,Tue,North Texas,30,Louisiana,23
10/18/2012,Thu,Oregon,43,Arizona State,21
10/18/2012,Thu,Southern Methodist,72,Houston,42
10/19/2012,Fri,Syracuse,40,Connecticut,10
10/20/2012,Sat,Air Force,28,New Mexico,23
10/20/2012,Sat,Alabama,44,Tennessee,13
10/20/2012,Sat,Arizona,52,Washington,17
10/20/2012,Sat,Ball State,41,Central Michigan,30
10/20/2012,Sat,Boise State,32,Nevada-Las Vegas,7
10/20/2012,Sat,Bowling Green State,24,Massachusetts,0
10/20/2012,Sat,Central Florida,35,Memphis,17
10/20/2012,Sat,Clemson,38,Virginia Tech,17
10/20/2012,Sat,Duke,33,North Carolina,30
10/20/2012,Sat,East Carolina,42,Alabama-Birmingham,35
10/20/2012,Sat,Eastern Michigan,48,Army,38
10/20/2012,Sat,Florida,44,South Carolina,11
10/20/2012,Sat,Florida State,33,Miami (Florida),20
10/20/2012,Sat,Fresno State,42,Wyoming,14
10/20/2012,Sat,Georgia,29,Kentucky,24
10/20/2012,Sat,Georgia Tech,37,Boston College,17
10/20/2012,Sat,Kansas State,55,West Virginia,14
10/20/2012,Sat,Kent State,41,Western Michigan,24
10/20/2012,Sat,LSU,24,Texas A&M,19
10/20/2012,Sat,Louisiana Tech,70,Idaho,28
10/20/2012,Sat,Louisiana-Monroe,43,Western Kentucky,42
10/20/2012,Sat,Louisville,27,South Florida,25
10/20/2012,Sat,Marshall,59,Southern Mississippi,24
10/20/2012,Sat,Michigan,12,Michigan State,10
10/20/2012,Sat,Mississippi State,45,Middle Tennessee State,3
10/20/2012,Sat,Navy,31,Indiana,30
10/20/2012,Sat,Nebraska,29,Northwestern,28
10/20/2012,Sat,North Carolina State,20,Maryland,18
10/20/2012,Sat,Northern Illinois,37,Akron,7
10/20/2012,Sat,Notre Dame,17,Brigham Young,14
10/20/2012,Sat,Ohio State,29,Purdue,22
10/20/2012,Sat,Oklahoma,52,Kansas,7
10/20/2012,Sat,Oklahoma State,31,Iowa State,10
10/20/2012,Sat,Oregon State,21,Utah,7
10/20/2012,Sat,Penn State,38,Iowa,14
10/20/2012,Sat,Pittsburgh,20,Buffalo,6
10/20/2012,Sat,Rutgers,35,Temple,10
10/20/2012,Sat,San Diego State,39,Nevada,38
10/20/2012,Sat,San Jose State,52,Texas-San Antonio,24
10/20/2012,Sat,South Alabama,37,Florida Atlantic,34
10/20/2012,Sat,Southern California,50,Colorado,6
10/20/2012,Sat,Stanford,21,California,3
10/20/2012,Sat,Texas,56,Baylor,50
10/20/2012,Sat,Texas Tech,56,TCU,53
10/20/2012,Sat,Texas-El Paso,24,Tulane,20
10/20/2012,Sat,Toledo,29,Cincinnati,23
10/20/2012,Sat,Troy,38,Florida International,37
10/20/2012,Sat,Tulsa,28,Rice,24
10/20/2012,Sat,Utah State,41,New Mexico State,7
10/20/2012,Sat,Vanderbilt,17,Auburn,13
10/20/2012,Sat,Wake Forest,16,Virginia,10
10/20/2012,Sat,Wisconsin,38,Minnesota,13
10/23/2012,Tue,Arkansas State,50,Louisiana,27
10/25/2012,Thu,Clemson,42,Wake Forest,13
10/26/2012,Fri,Air Force,48,Nevada,31
10/26/2012,Fri,Louisville,34,Cincinnati,31
10/27/2012,Sat,Alabama,38,Mississippi State,7
10/27/2012,Sat,Arizona,39,USC,36
10/27/2012,Sat,Ball State,30,Army,22
10/27/2012,Sat,Boise State,45,Wyoming,14
10/27/2012,Sat,Boston College,20,Maryland,17
10/27/2012,Sat,Bowling Green State,24,Eastern Michigan,3
10/27/2012,Sat,Brigham Young,41,Georgia Tech,17
10/27/2012,Sat,Central Florida,54,Marshall,17
10/27/2012,Sat,Central Michigan,35,Akron,14
10/27/2012,Sat,Colorado State,42,Hawaii,27
10/27/2012,Sat,Florida Atlantic,34,Troy,27
10/27/2012,Sat,Florida State,48,Duke,7
10/27/2012,Sat,Fresno State,49,New Mexico,32
